"#Barcode","Correct","Corrected","Total","Percentage(%)"
"4353_01_ABE103_GEX_SI-TT-C10",53900521,509611,54410132,"2.73%"
"4353_02_ABE104_GEX_SI-TT-D10",44329831,181586,44511417,"2.23%"
"4353_03_ABE105_GEX_SI-TT-E10",52283802,356362,52640164,"2.64%"
"4353_04_ABE106_GEX_SI-TT-F10",52824715,216801,53041516,"2.66%"
"4353_05_ABE107_GEX_SI-TT-G10",55088392,448953,55537345,"2.79%"
"4353_06_ABE108_GEX_SI-TT-H10",56063939,389262,56453201,"2.83%"
"4353_07_ABE109_GEX_SI-TT-A11",47970782,256595,48227377,"2.42%"
"4353_08_ABE110_GEX_SI-TT-B11",57624649,330584,57955233,"2.91%"
"4353_09_ABE111_GEX_SI-TT-C11",52198221,250559,52448780,"2.63%"
"4353_10_ABE112_GEX_SI-TT-D11",62559039,397059,62956098,"3.16%"
"4353_11_ABE113_GEX_SI-TT-E11",52077917,289800,52367717,"2.63%"
"4353_12_ABE114_GEX_SI-TT-F11",41589612,343542,41933154,"2.11%"
"4353_13_ABE115_GEX_SI-TT-G11",56232075,289245,56521320,"2.84%"
"4353_14_ABE116_GEX_SI-TT-H11",52064256,318806,52383062,"2.63%"
"4353_15_ABE117_GEX_SI-TT-A12",53329093,341022,53670115,"2.69%"
"4353_16_ABE118_GEX_SI-TT-B12",68390401,471444,68861845,"3.46%"
"4353_17_ABE119_GEX_SI-TT-C12",56207793,226342,56434135,"2.83%"
"4353_18_ABE120_GEX_SI-TT-D12",51010450,495976,51506426,"2.59%"
"4353_19_ABE103_TCR_SI-TT-E12",6380809,46227,6427036,"0.32%"
"4353_20_ABE104_TCR_SI-TT-F12",7214026,33932,7247958,"0.36%"
"4353_21_ABE105_TCR_SI-TT-G12",7252017,53500,7305517,"0.37%"
"4353_22_ABE106_TCR_SI-TT-H12",7088930,57574,7146504,"0.36%"
"4353_23_ABE107_TCR_SI-TT-E2",8348287,38775,8387062,"0.42%"
"4353_24_ABE108_TCR_SI-TT-F2",7177925,35730,7213655,"0.36%"
"4353_25_ABE109_TCR_SI-TT-G2",6700602,36667,6737269,"0.34%"
"4353_26_ABE110_TCR_SI-TT-H2",7554611,49629,7604240,"0.38%"
"4353_27_ABE111_TCR_SI-TT-A3",7263809,52494,7316303,"0.37%"
"4353_28_ABE112_TCR_SI-TT-B3",7043352,90002,7133354,"0.36%"
"4353_29_ABE113_TCR_SI-TT-C3",5787324,31005,5818329,"0.29%"
"4353_30_ABE114_TCR_SI-TT-D3",6095634,41639,6137273,"0.31%"
"4353_31_ABE115_TCR_SI-TT-E3",7401971,29382,7431353,"0.37%"
"4353_32_ABE116_TCR_SI-TT-F3",6875199,53619,6928818,"0.35%"
"4353_33_ABE117_TCR_SI-TT-G3",7324630,41421,7366051,"0.37%"
"4353_34_ABE118_TCR_SI-TT-H3",6483124,40411,6523535,"0.33%"
"4353_35_ABE119_TCR_SI-TT-A4",7622482,46449,7668931,"0.38%"
"4353_36_ABE120_TCR_SI-TT-B4",7214054,30556,7244610,"0.36%"
"4353_37_ABE103_ADT_SI-TN-E2",5448334,307955,5756289,"0.29%"
"4353_38_ABE104_ADT_SI-TN-F2",5544417,254003,5798420,"0.29%"
"4353_39_ABE105_ADT_SI-TN-G2",4699095,265788,4964883,"0.25%"
"4353_40_ABE106_ADT_SI-TN-H2",5492010,306841,5798851,"0.29%"
"4353_41_ABE107_ADT_SI-TN-A3",4422570,326460,4749030,"0.24%"
"4353_42_ABE108_ADT_SI-TN-B3",4309160,215432,4524592,"0.23%"
"4353_43_ABE109_ADT_SI-TN-C3",4390505,228677,4619182,"0.23%"
"4353_44_ABE110_ADT_SI-TN-D3",4874289,270531,5144820,"0.26%"
"4353_45_ABE111_ADT_SI-TN-E3",4838301,221443,5059744,"0.25%"
"4353_46_ABE112_ADT_SI-TN-F3",4828629,216881,5045510,"0.25%"
"4353_47_ABE113_ADT_SI-TN-G3",4066199,264041,4330240,"0.22%"
"4353_48_ABE114_ADT_SI-TN-H3",4405556,311543,4717099,"0.24%"
"4353_49_ABE115_ADT_SI-TN-A4",4588751,281662,4870413,"0.24%"
"4353_50_ABE116_ADT_SI-TN-B4",4980515,289308,5269823,"0.26%"
"4353_51_ABE117_ADT_SI-TN-C4",5378727,317761,5696488,"0.29%"
"4353_52_ABE118_ADT_SI-TN-D4",5414002,280894,5694896,"0.29%"
"4353_53_ABE119_ADT_SI-TN-E4",4102550,225422,4327972,"0.22%"
"4353_54_ABE120_ADT_SI-TN-F4",5587647,308911,5896558,"0.30%"
"4353_55_ABE121_GEX_SI-TT-C4",59313207,349762,59662969,"3.00%"
"4353_56_ABE122_GEX_SI-TT-D4",50665090,273762,50938852,"2.56%"
"4353_57_ABE123_GEX_SI-TT-E4",46917076,524864,47441940,"2.38%"
"4353_58_ABE124_GEX_SI-TT-F4",50894184,431814,51325998,"2.58%"
"4353_59_ABE125_GEX_SI-TT-G4",50825372,574567,51399939,"2.58%"
"4353_60_ABE126_GEX_SI-TT-C7",52566826,220660,52787486,"2.65%"
"4353_61_ABE127_GEX_SI-TT-A5",64397906,397159,64795065,"3.25%"
"4353_62_ABE128_GEX_SI-TT-B5",50626231,568839,51195070,"2.57%"
"4353_63_ABE129_GEX_SI-TT-C5",53780417,317416,54097833,"2.72%"
"4353_64_ABE130_GEX_SI-TT-D5",56155054,489800,56644854,"2.84%"
"4353_65_ABE131_GEX_SI-TT-E5",47299375,244689,47544064,"2.39%"
"4353_66_ABE132_GEX_SI-TT-D7",56306965,465936,56772901,"2.85%"
"4353_67_ABE121_TCR_SI-TT-G5",7788953,36020,7824973,"0.39%"
"4353_68_ABE122_TCR_SI-TT-H5",8042523,34694,8077217,"0.41%"
"4353_69_ABE123_TCR_SI-TT-A6",7446748,31249,7477997,"0.38%"
"4353_70_ABE124_TCR_SI-TT-B6",7492830,38647,7531477,"0.38%"
"4353_71_ABE125_TCR_SI-TT-C6",7818429,72907,7891336,"0.40%"
"4353_72_ABE126_TCR_SI-TT-D6",7394585,124630,7519215,"0.38%"
"4353_73_ABE127_TCR_SI-TT-E6",8134475,50742,8185217,"0.41%"
"4353_74_ABE128_TCR_SI-TT-F6",7141081,73093,7214174,"0.36%"
"4353_75_ABE129_TCR_SI-TT-G6",7624479,122736,7747215,"0.39%"
"4353_76_ABE130_TCR_SI-TT-H6",7182505,74605,7257110,"0.36%"
"4353_77_ABE131_TCR_SI-TT-A7",6784570,108263,6892833,"0.35%"
"4353_78_ABE132_TCR_SI-TT-B7",6296455,52146,6348601,"0.32%"
"4353_79_ABE121_ADT_SI-TN-G4",4015837,223083,4238920,"0.21%"
"4353_80_ABE122_ADT_SI-TN-H4",4562020,300868,4862888,"0.24%"
"4353_81_ABE123_ADT_SI-TN-A5",4120182,219205,4339387,"0.22%"
"4353_82_ABE124_ADT_SI-TN-B5",4680179,251070,4931249,"0.25%"
"4353_83_ABE125_ADT_SI-TN-C5",5008119,325908,5334027,"0.27%"
"4353_84_ABE126_ADT_SI-TN-D5",3824744,226281,4051025,"0.20%"
"4353_85_ABE127_ADT_SI-TN-E5",4306052,244807,4550859,"0.23%"
"4353_86_ABE128_ADT_SI-TN-F5",4455678,263377,4719055,"0.24%"
"4353_87_ABE129_ADT_SI-TN-G5",4363756,265407,4629163,"0.23%"
"4353_88_ABE130_ADT_SI-TN-H5",3987512,217980,4205492,"0.21%"
"4353_89_ABE131_ADT_SI-TN-A6",4102366,187393,4289759,"0.22%"
"4353_90_ABE132_ADT_SI-TN-B6",5014404,331505,5345909,"0.27%"
"4354_03_RUN2_VDJ_SI-TT-E1",7812377,72406,7884783,"0.40%"
"4354_04_RUN2_HTO_SI-TN-C1",2158475,113772,2272247,"0.11%"
